Date,Predicted Comment Count
2022-08-31,165.7153778076172
2022-09-01,189.75582885742188
2022-09-02,169.34634399414062
2022-09-03,154.64805603027344
2022-09-04,174.19134521484375
2022-09-05,188.56007385253906
2022-09-06,174.822998046875
2022-09-07,174.5458526611328
2022-09-08,142.7574462890625
2022-09-09,132.9796905517578
2022-09-10,117.704345703125
2022-09-11,117.0427474975586
2022-09-12,149.52342224121094
2022-09-13,163.11656188964844
2022-09-14,116.72171020507812
2022-09-15,126.49483489990234
2022-09-16,117.07784271240234
2022-09-17,122.41119384765625
2022-09-18,127.03874206542969
2022-09-19,165.9754638671875
2022-09-20,159.4105682373047
2022-09-21,143.73764038085938
2022-09-22,116.8853530883789
2022-09-23,99.57649993896484
2022-09-24,133.6162872314453
2022-09-25,142.23731994628906
2022-09-26,174.4534149169922
